fwe.lower,aqem.code,gen,sp,streamzone_euc,streamzone_hyc,streamzone_erh,streamzone_mrh,streamzone_hrh,streamzone_epo,streamzone_mpo,streamzone_hpo,streamzone_lit,streamzone_pro,tachlong_cr,tachlong_er,tachlong_mr,tachlong_hr,tachlong_ep,tachlong_mp,tachlong_est,tachlong_out,tachtrans_rich,tachtrans_bcsa,tachtrans_ppdsa,tachtrans_mapb,tachtrans_tmpw,tachtrans_lake,tachtrans_gw,tachalt_low,tachalt_pie,tachalt_alt,tachsub_fbcp,tachsub_grvl,tachsub_sand,tachsub_silt,tachsub_macp,tachsub_micp,tachsub_twro,tachsub_odli,tachsub_mud,currpref_lib,currpref_lip,currpref_lrp,currpref_rlp,currpref_rhp,currpref_rhb,currpref_ind,tachcurr_null,tachcurr_slow,tachcurr_medium,tachcurr_fast,tachtemp_psy,tachtemp_the,tachtemp_eut,tachph_less4,tachph_4to4.5,tachph_4.5to5,tachph_5to5.5,tachph_5.5to6,tachph_gre6,tachsal_frw,tachsal_brw,tachsap_x,tachsap_o,tachsap_b,tachsap_a,tachsap_p,tachtroph_oli,tachtroph_meso,tachtroph_eu,feedingtype_gra,feedingtype_min,feedingtype_xyl,feedingtype_shr,feedingtype_gat,feedingtype_aff,feedingtype_pff,feedingtype_pre,feedingtype_par,feedingtype_oth,tachfood_mior,tachfood_detl1,tachfood_dpg1,tachfood_limi,tachfood_lima,tachfood_dag1,tachfood_lmic,tachfood_lmac,tachfood_vert,tachfeed_abs,tachfeed_dpf,tachfeed_shr,tachfeed_scr,tachfeed_fif,tachfeed_pie,tachfeed_pre,tachfeed_par,locotype_sws,locotype_swd,locotype_bub,locotype_spw,locotype_ses,locotype_oth,tachloco_flr,tachloco_ssw,tachloco_wsw,tachloco_crw,tachloco_bur,tachloco_int,tachloco_tat,tachloco_pat,tachrespir_teg,tachrespir_gil,tachrespir_pls,tachrespir_spi,tachrespir_ves,tachsize_less0.25,tachsize_0.25to0.5,tachsize_0.5to1,tachsize_1to2,tachsize_2to4,tachsize_4to8,tachsize_gre8,tachresis_egg,tachresis_coc,tachresis_hou,tachresis_did,tachresis_non,tachdisp_aquapass,tachdisp_aquaact,tachdisp_aerpass,tachdisp_aeract,tachaqua_egg,tachaqua_larva,tachaqua_nymph,tachaqua_adult,tachlong_less1,tachlong_gre1,tachcycle_less1,tachcycle_one,tachcycle_gre1,tachrepro_ovo,tachrepro_fie,tachrepro_cie,tachrepro_fic,tachrepro_frc,tachrepro_vec,tachrepro_tec,tachrepro_ase
Hydraena gracilis,5514,Hydraena,gracilis Ad.,0,1,1,3,3,2,0,0,0,0,1,3,3,3,3,0,0,3,2,2,1,1,0,0,0,3,1,1,3,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,2,3,2,1,0,0,1,1,1,2,2,3,3,0,0,1,3,2,0,2,3,1,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0.714285714,0,2.142857143,7.142857143,0,1,0,3,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,0,0,3,1,3,0,3,1,0,0,0,0,0,0,3,0
Hydraena riparia,5527,Hydraena,riparia Ad.,0,0,0,2,2,0,0,0,6,0,1,3,3,3,3,0,0,3,2,2,1,1,0,0,0,3,1,1,3,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,2,3,2,1,0,0,1,1,1,2,2,3,3,0,0,1,3,2,0,2,3,1,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5,5,0,1,0,3,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,0,0,3,1,3,0,3,1,0,0,0,0,0,0,3,0
Hydraena minutissima,5518,Hydraena,minutissima Ad.,0,0,0,7,3,0,0,0,0,0,1,3,3,3,3,0,0,3,2,2,1,1,0,0,0,3,1,1,3,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,2,3,2,1,0,0,1,1,1,2,2,3,3,0,0,1,3,2,0,2,3,1,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0.714285714,0,2.142857143,7.142857143,0,1,0,3,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,0,0,3,1,3,0,3,1,0,0,0,0,0,0,3,0
Hydraena britteni,5509,Hydraena,britteni Ad.,0,0,0,0,0,0,0,0,10,0,1,3,3,3,3,0,0,3,2,2,1,1,0,0,0,3,1,1,3,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,3,2,1,0,0,1,1,1,2,2,3,3,0,0,1,3,2,0,2,3,1,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5,5,0,1,0,3,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,0,0,3,1,3,0,3,1,0,0,0,0,0,0,3,0
Hydraena dentipes,5511,Hydraena,dentipes Ad.,0,0,2,5,2,1,0,0,0,0,1,3,3,3,3,0,0,3,2,2,1,1,0,0,0,3,1,1,3,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,2,3,2,1,0,0,1,1,1,2,2,3,3,0,0,1,3,2,0,2,3,1,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0.714285714,0,2.142857143,7.142857143,0,1,0,3,3,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,0,0,3,1,3,0,3,1,0,0,0,0,0,0,3,0
Hydrocyphon deflexicollis,14052,Hydrocyphon,deflexicollis Ad.,0,0,0,0,0,0,0,0,10,0,1,2,4,2,0,0,0,0,1,2,1,0,0,0,0,3,1,0,2,3,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,NA,NA,NA,1,1,2,3,3,3,3,2,NA,NA,NA,NA,NA,1,3,0,0.666666667,0,0,3.166666667,5.833333333,0,0,0.333333333,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,7,0,3,0,0,0,5,0,0,0,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,3,0,0,1,3,0,3,0,0,0,0,0,0,0,3,0
Limnebius truncatellus,5808,Limnebius,truncatellus Ad.,4,2,2,0,0,0,0,0,2,0,2,3,3,3,0,0,0,0,1,2,1,1,1,0,0,3,1,0,2,2,1,0,2,2,0,0,0,0,0,0,1,0,0,0,1,2,2,1,1,0,0,0,0,0,1,2,3,3,1,0,3,1,0,0,1,3,1,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5,5,0,1,0,3,3,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,0,0,2,1,3,0,3,1,0,0,0,0,0,0,3,0
Limnius perrisi,12092,Limnius,perrisi Ad.,0,1,5,4,0,0,0,0,0,0,1,3,3,3,1,0,0,0,3,3,0,0,0,0,0,3,1,0,2,3,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,3,3,2,1,0,0,0,1,1,2,3,3,3,0,0,3,3,0,0,3,2,0,8,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,5.5,3.5,0,1,0,0,4,0,1,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,2,3,3,0,2,1,3,0,3,0,0,0,0,3,0,0,0,0
Limnius volckmari,12094,Limnius,volckmari Ad.,0,0,1,3,5,1,0,0,0,0,1,3,3,3,1,0,0,0,3,3,0,0,0,0,0,3,1,0,2,3,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,1,0,0,0,1,1,2,3,3,3,0,0,3,3,0,0,3,2,0,8,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,5.5,3.5,0,1,0,0,4,0,1,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,2,3,3,0,2,1,3,0,3,0,0,0,0,3,0,0,0,0
Nebrioporus elegans,11997,Nebrioporus,elegans Ad.,0,0,0,0,4,2,0,0,4,0,0,1,4,4,1,0,0,0,0,1,2,1,0,1,0,3,2,1,1,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,3,2,1,0,1,0,0,0,0,0,0,1,3,3,1,0,1,3,0,0,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,3,0,0,0,3,0,7,0,0,1,0,3,3,0,0,0,0,1,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,3,2,1,0,3,3,3,0,2,1,3,0,1,3,0,0,0,3,0,0,0,0
Orectochilus villosus,12422,Orectochilus,villosus Ad.,0,0,0,2,3,3,2,0,0,0,0,1,1,2,2,2,1,0,3,3,0,0,0,0,0,3,0,0,2,2,1,0,2,0,1,1,0,0,0,0,0,1,0,0,3,2,2,1,NA,NA,NA,0,0,0,0,0,3,3,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,3,0,0,0,7,0,3,0,0,1,3,3,3,0,0,0,0,1,3,0,3,0,0,2,2,0,0,0,0,0,0,0,0,3,2,2,0,3,3,3,0,2,1,3,0,3,0,0,0,0,3,0,0,0,0
Oreodytes sanmarkii,12010,Oreodytes,sanmarkii Ad.,0,0,2,5,3,0,0,0,0,0,0,2,4,4,1,0,0,0,1,3,0,0,0,1,0,3,2,1,1,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,3,2,1,0,1,0,0,0,1,1,1,1,3,3,0,0,2,3,0,0,3,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,3,0,0,0,4,0,4,0,2,1,0,3,3,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,3,0,2,1,3,0,1,3,0,0,0,3,0,0,0,0
Oulimnius tuberculatus,12105,Oulimnius,tuberculatus Ad.,0,0,0,1,4,4,0,0,1,0,1,3,3,3,1,0,0,0,3,3,0,0,0,0,0,3,1,0,1,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,1,0,0,0,0,1,1,1,3,3,0,0,1,3,0,0,3,2,0,7,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,10,0,1,0,0,4,0,1,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,2,3,3,0,2,1,3,0,3,0,0,0,0,3,0,0,0,0
Platambus maculatus,11746,Platambus,maculatus Ad.,0,0,1,2,4,2,1,0,0,0,0,0,1,4,4,1,0,0,1,3,0,0,0,0,0,3,1,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,3,3,0,0,1.166666667,0.166666667,0,0,0,2,2,2,3,3,0,0,1,2,3,0,0,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,1,0,0,3,0,0,3,0,0,0,10,0,0,0,0,1,0,3,3,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,2,1,0,3,3,3,0,2,0,3,0,3,1,0,0,0,3,0,0,0,0
Pomatinus substriatus,11623,Pomatinus,substriatus Ad.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,4,1,0,0,0,2,2,0,0,0,0,0,3,1,0,1,3,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,2,1,NA,NA,NA,0,0,0,0,1,3,3,0,0,3,3,0,0,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1.5,8.5,0,0,1,0,0,3,3,0,0,0,3,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,3,0,2,1,3,0,3,0,0,0,0,0,0,0,3,0
Agapetus sp.,4254,Agapetus,sp.,2.357142857,2.428571429,1.142857143,1.857142857,1.642857143,0.571428571,0,0,0,0,1,4,2,4,1,0,0,1,3,2,0,0,1,1,0,3,1,1,5,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,1,3,3,3,0,2,3,3,0,0,3,1,0,8,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,8.5,1.5,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,1,2,1,1,3,3,3,0,3,0,0,3,1,0,0,0,3,0,0,0,0
Amphinemura sp.,4293,Amphinemura,sp.,1.333333333,2.333333333,4,1.222222222,0.777777778,0.111111111,0,0,0.222222222,0,2,4,3,1,0,0,0,1,4,3,0,0,0,1,0,3,1,1,3,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,1,2,1,3,0,0,0,1,2,2,3,3,3,0,1,3,1,0,0,3,0,0,5,0,0,2,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,3,0,0,0,5,0,0,0,0,3,2,0,0,0,0,1,3,0,0,0,0,1,0,0,2,2,2,2,0,1,3,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0
Baetis sp.,4419,Baetis,sp.,0,1,1,2,2,2,1,0,1,0,3,4,4,4,3,2,0,1,4,3,0,0,1,1,0,3,2,1,4,2,1,0,5,0,3,1,0,0,0,0,1,0,0,0,0,2,3,2,0,1,0,1,1,1,2,3,3,3,1,1,2,3,1,0,3,3,3,5,0,0,0,5,0,0,0,0,0,0,2,2,5,1,1,0,0,0,0,1,0,3,0,0,0,0,0,6,0,4,0,0,0,0,3,4,0,1,0,0,1,2,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,3,2,1,3,3,3,0,0,3,0,0,2,3,0,0,1,3,0,0,0,0
Ceratopogoninae/Palpomyiinae Gen. sp.,14768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,3,0,3,4,1,3,4,0,3,1,0,2,3,4,1,3,3,3,1,4,0,0,0.333333333,0,0.333333333,0,0.333333333,3,1,1,0,0,1,0,1,2,3,3,3,3,3,2,0,2,2,2,1,2,2,2,0,0,0,0,0,0,0,10,0,0,0,1,0,2,0,1,4,2,0,0,1,1,0,0,0,3,0,0,4.5,0,4,0,1.5,0,1,3,1,3,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,1,0,0,0,3,3,1,0,2,1,2,2,0,3,0,0,2,2,0,0,1,3,0,0,0,0
Chironomidae Gen. sp.,4642,NA,NA,0,0,1,1,1,1,1,1,2,2,1.75,2,1.5,1.5,1.5,1.25,0.5,2.5,0.25,3,1.25,0.75,1.5,2.25,0,1.75,1.75,0.75,2.25,1,2,1.25,3.5,0,1.5,1,2.5,0,0,0,0,0,0,1,1.25,1,1.25,1.25,1.75,1,0,1.666666667,2,2.666666667,3,3,3,3,1,1,2.5,2.25,1.5,0.75,1,2.333333333,2.333333333,2,1,0,0,3,2,0,1,1,0,0.25,2.5,0.5,1.5,0.5,0.25,1.75,1.5,0,0,1.5,1,1.25,0.75,0,1.75,0.25,0,1,0,1,4,4,0,0,1.75,2.5,1.5,0.75,1,0,3,1,0,0,0,0,0.75,2.5,1.25,0.5,0,0,0,0,0,0.5,3,1.75,1,2,1,0,3,3,0,3,0,0,2.333333333,2,0.5,0,0,1,3,0,0,0
Dicranota sp.,4955,Dicranota,sp.,0,0,1,3,3,1,0,0,2,0,1,1,1,1,0,0,1,0,0,3,2,2,0,1,0,3,1,1,2,3,3,2,1,0,1,3,2,0,0,0,1,0,0,0,1,2,1,1,1,0,1,1,1,3,3,3,3,3,0,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,1,3,2,0,0,0,0,0,2,2,1,0,1,2,2,0,0,3,0,0,3,1,0,1,0,0,1,0,0,0
Eloeophila sp.,9654,Eloeophila,sp.,0,0.333333333,0.333333333,1,1.666666667,1,0,0,5.666666667,0,0,1,1,1,0,0,1,0,0,2,2,2,0,1,0,3,1,1,1,2,3,3,1,0,0,3,3,0,0,0,1,0,0,0,1,2,1,0,0,0,2,1,1,2,2,3,3,3,0,0,0.333333333,1,0.666666667,0,1,1,0,0,0,0,0,1.666666667,0,0,8.333333333,0,0,0,1,3,1,0,0,0,5,0,0,0,1,1,0,0,3,0,0,0,6.666666667,3.333333333,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,2,1,1,0,1,2,2,0,0,1,0,0,3,1,0,1,0,1,0,0,0,0
Empididae Gen. sp.,5097,NA,NA,0,0,0,2,5,3,0,0,0,0,2,2,2,2,0.5,0.5,0,0,2,2.5,0,1.5,0,0,0,2,1.5,1.5,3.5,2,1,0.5,3.5,0,2,1,1,0,0,0,0,0,0,1,0,0.5,1,2,1,0,0,0,0,1.5,3,3,3,3,0.5,1,1,3,1,0,1,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0.5,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,2,0,2.5,3,0,3,0,0,3,1.5,0,0,0,0,0,0,2,0
Heteroptera Gen. sp.,9344,Heteroptera,Gen. sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydropsyche sp.,5605,Hydropsyche,sp.,0.295454545,0.568181818,1.886363636,2.659090909,2.636363636,1.295454545,0.477272727,0.181818182,0,0,1,3,4,5,4,2,0,1,5,3,0,0,0,1,0,3,2,1,5,2,1,0,3,0,4,0,0,0,0,0,0,1,0,0,0,1,3,1,1,1,0,0,1,1,2,3,3,3,0,1,2,3,2,0,1,3,2,2,0,0,0,0,0,5,3,0,0,0,2,1,3,0,0,3,1,0,0,0,0,0,3,0,1,0,1,0,0,4,5,0,0,0,0,2,0,0,3,0,2,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,3,3,2,1,3,3,3,3,0,3,0,0,2,2,0,0,0,3,0,0,0,0
Isoperla sp.,5673,Isoperla,sp.,0.516129032,2.096774194,4.709677419,1.096774194,0.612903226,0.612903226,0.322580645,0.032258065,0,0,2,4,4,4,1,1,0,2,4,2,1,0,1,1,0,2,2,1,3,2,2,0,3,0,1,2,0,0,0,0,0,1,0,0,0,1,3,2,2,0,0,0,0,0,1,3,3,3,0,2,3,1,0,0,3,2,0,1,0,0,1,1,0,0,7,0,0,0,0,0,2,0,0,1,4,0,0,0,3,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,1,3,0,0,0,2,0,0,1,1,2,2,0,2,3,3,0,0,1,3,2,3,0,0,0,1,2,0,0,0,0
Leuctra sp.,5790,Leuctra,sp.,1,1,3,2,2,1,0,0,0,0,2,4,5,4,3,0,0,1,5,3,1,0,0,1,1,3,2,1,4,3,2,2,4,0,4,2,0,0,0,0,0,1,0,0,1,2,2,2,2,0,0,1,1,2,3,3,3,3,0,2,3,2,0,0,3,1,0,3,0,0,3,4,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,1,3,1,0,0,0,0,0,0,5,5,0,0,0,0,0,5,2,1,0,0,3,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,3,2,2,0,1,3,3,0,0,3,1,1,3,0,0,0,3,0,0,0,0,0
Limnephilidae Gen. sp.,5809,NA,NA,1.312977099,2.175572519,2.057251908,1.309160305,0.629770992,0.354961832,0.167938931,0.034351145,1.950381679,0.007633588,1.1875,2.8125,2.5625,1.25,0.5625,0.3125,0.125,1.375,1.1875,1.125,0.75,0.5,0.625,1.0625,0,2.125,1.375,0.5,2.125,0.875,0.5625,0.0625,1.6875,0.1875,0.1875,1.75,0.3125,0,0,0,0,0,0,1,0.9375,2.0625,1.25,1.5,1.75,0,0,0,0,1,2.2,2.466666667,2.933333333,3,0.125,1.3125,2.5625,1.8125,0.375,0,1.833333333,0.75,0.25,2,0,0,5,1,0,0,2,0,0,0.0625,0.125,2.375,1.375,2.125,0,0.0625,0.5625,0,0,0.125,2.75,1,0,0,0.1875,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,2.375,2.125,0,0,0,0,0,0.5,2.125,1.125,0,0,0,0,0,1.1,2.1,0.5,1.8125,0,2.1875,2.5,3,2.875,0,1.75,0.1875,0.230769231,3,0,0,0,0,1.875,0,0,0.5,0
Limnius sp.,12093,Limnius,sp. Ad.,0,0.333333333,2,3.333333333,3.333333333,1,0,0,0,0,1,3,3,3,1,0,0,0,3,3,0,0,0,0,0,3,1,0,2,3,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,1,0,0,0,1,1,2,3,3,3,0,0,3,3,0,0,3,2,0,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,5.5,3.5,0,1,0,0,4,0,1,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,2,3,3,0,2,1,3,0,3,0,0,0,0,3,0,0,0,0
Nemoura sp.,6108,Nemoura,sp.,1.372093023,3.255813953,3.465116279,1.325581395,0.139534884,0.023255814,0,0,0.372093023,0.046511628,3,5,2,1,1,1,0,1,5,3,1,0,2,2,0,1,3,1,2,0,0,1,5,0,1,3,0,0,0.090909091,0.090909091,0.227272727,0.454545455,0.090909091,0.045454545,1,1,2,2,2,0,0,1,2,3,3,3,3,3,0,1,2,1,0,0,2,3,1,0,0,0,7,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,3,2,2,0,2,3,3,0,0,2,2,2,2,0,0,0,3,1,0,0,0,0
Pisidium sp.,6425,Pisidium,sp.,0.117647059,0.117647059,0.294117647,0.588235294,0.941176471,2.235294118,1.764705882,0,3.294117647,0.647058824,1,2,3,3,3,3,0,3,0,3,2,1,1,2,0,3,2,2,1,1,4,4,3,0,1,3,4,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,1,2,3,3,3,3,1,0,3,2,1,0,3,1,1,0,0,0,0,0,10,0,0,0,0,0,3,0,5,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,3,5,0,0,0,0,1,4,1,2,0,1,3,0,0,0,0,3,2,1,0,0,0,1,0,0,1,0,3,1,1,0,3,3,0,3,2,3,0,3,3,3,0,0,0,0,0,0,0
Protonemura sp.,6616,Protonemura,sp.,1,2,5,2,0,0,0,0,0,0,4,5,1,1,1,0,0,1,5,2,0,0,1,1,0,3,3,1,4,0,1,0,4,0,1,2,0,0,0,0,0,1,0,0,0,2,2,2,2,0,0,1,2,3,3,3,3,3,0,3,3,0,0,0,3,0,0,3,0,0,5,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,3,2,0,0,0,0,0,3,1,0,0,0,1,0,0,1,3,2,2,0,1,3,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0
Psychodidae Gen. sp.,8753,NA,NA,0,1.5,2.5,1,0,0,0,0,5,0,1,2,2,2,0,0,2,2,0,4,2,1,2,0,0,3,1,1,4,2,2,1,5,0,3,4,3,0,0,0,0,0,0,1,2,3,1,1,NA,NA,NA,0,1,2,2,3,3,3,1,0,1,2,3,2,1,3,3,3,0,0,1,5,0,0,1,0,0,0,2,4,2,1,2,0,0,0,0,2,3,1,0,0,0,0,0,0,10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,1,0,1,2,2,2,0,3,0,0,1,3,1,0,1,3,0,0,0,0
Rhithrogena sp.,6747,Rhithrogena,sp.,0,1,4,2,2,1,0,0,0,0,1,2,3,3,2,0,0,0,4,1,0,0,0,0,0,3,3,2,5,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,2,0,0,0,0,0,0,1,3,3,0,2,3,2,0,0,3,1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,10,0,0,0,0,1,5,0,1,0,0,1,3,0,0,0,0,0,1,3,0,0,0,2,0,0,0,2,3,2,1,3,3,3,0,0,3,1,1,3,0,0,1,1,3,0,0,0,0
Simulium sp.,6853,Simulium,sp.,0.113636364,1.454545455,2.681818182,2.068181818,1.386363636,1.454545455,0.568181818,0.272727273,0,0,1,2,2,2,0.5,0.5,0,0.5,5,2.5,0.5,0,1,0,0,1,2.5,1.5,4,0.5,0,0,4.5,0,1,1,0,0,0,0,0,1,0,0,0,0.5,2,2.5,2.5,2,3,0.5,0.5,1.5,2.5,2,2.5,3,0,1,2.5,3,0.5,0,2,1.5,0.5,0,0,0,0,0,0,10,0,0,0,0,2.5,0,1,0,0,0.5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,10,0,0,0,0,2,0,1,4,0,3,1,0,1.5,0,0,1,2,0,0,0,0,1,0,0,1,0,2,1.5,3,1,2,3,3,0,3,0.5,0,2,3,0,1,0,3,1,0,1,0
Siphonoperla sp.,6867,Siphonoperla,sp.,1.428571429,2.571428571,2.285714286,1.142857143,1.571428571,1,0,0,0,0,2,5,2,1,1,0,0,0,5,0,0,0,0,0,0,2,1,1,4,3,3,0,3,0,2,2,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,1,2,3,3,3,0,1,2,1,0,0,3,0,0,1,0,0,1,2,0,0,6,0,0,1,1,2,1,0,0,1,5,0,0,1,3,1,0,0,1,0,0,0,5.666666667,4.333333333,0,0,0,0,0,4,1,1,0,0,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,2,2,0,1,3,3,0,0,2,1,1,2,0,0,0,3,0,0,0,0,0
