code,Year,Month,Day,Hour,Temp
2011_4_19_20,2011,4,19,20,12.401
2011_4_19_21,2011,4,19,21,NA
2011_4_19_22,2011,4,19,22,11.139
2011_4_19_23,2011,4,19,23,NA
2011_4_20_0,2011,4,20,0,10.161
2011_4_20_1,2011,4,20,1,NA
2011_4_20_2,2011,4,20,2,9.275
2011_4_20_3,2011,4,20,3,NA
2011_4_20_4,2011,4,20,4,8.581
2011_4_20_5,2011,4,20,5,NA
2011_4_20_6,2011,4,20,6,8.082
2011_4_20_7,2011,4,20,7,NA
2011_4_20_8,2011,4,20,8,8.382
2011_4_20_9,2011,4,20,9,NA
2011_4_20_10,2011,4,20,10,10.161
2011_4_20_11,2011,4,20,11,NA
2011_4_20_12,2011,4,20,12,12.594
2011_4_20_13,2011,4,20,13,NA
2011_4_20_14,2011,4,20,14,14.517
2011_4_20_15,2011,4,20,15,NA
2011_4_20_16,2011,4,20,16,14.9
2011_4_20_17,2011,4,20,17,NA
2011_4_20_18,2011,4,20,18,14.325
2011_4_20_19,2011,4,20,19,NA
2011_4_20_20,2011,4,20,20,12.98
2011_4_20_21,2011,4,20,21,NA
2011_4_20_22,2011,4,20,22,11.722
